Year,State,count,cum_count
1995,OR,0.0,0.0
1995,NC,0.0,0.0
1995,ND,0.0,0.0
1995,NE,0.0,0.0
1995,NJ,0.0,0.0
1995,NM,0.0,0.0
1995,NV,0.0,0.0
1995,NY,0.0,0.0
1995,OH,0.0,0.0
1995,OK,0.0,0.0
1995,PA,0.0,0.0
1995,MT,0.0,0.0
1995,RI,0.0,0.0
1995,SD,0.0,0.0
1995,TN,0.0,0.0
1995,TX,0.0,0.0
1995,UT,0.0,0.0
1995,VA,0.0,0.0
1995,VT,0.0,0.0
1995,WA,0.0,0.0
1995,WI,0.0,0.0
1995,WV,0.0,0.0
1995,WY,0.0,0.0
1995,SC,0.0,0.0
1995,MS,0.0,0.0
1995,NH,0.0,0.0
1995,MN,0.0,0.0
1995,AK,0.0,0.0
1995,AL,0.0,0.0
1995,AR,0.0,0.0
1995,AZ,0.0,0.0
1995,CA,1.0,1.0
1995,CO,0.0,0.0
1995,CT,0.0,0.0
1995,MO,0.0,0.0
1995,FL,0.0,0.0
1995,GA,0.0,0.0
1995,HI,0.0,0.0
1995,IA,0.0,0.0
1995,DE,0.0,0.0
1995,MI,0.0,0.0
1995,IL,0.0,0.0
1995,IN,0.0,0.0
1995,KS,0.0,0.0
1995,KY,0.0,0.0
1995,LA,0.0,0.0
1995,MA,0.0,0.0
1995,MD,0.0,0.0
1995,ME,0.0,0.0
1995,ID,0.0,0.0
1996,OR,0.0,0.0
1996,OH,0.0,0.0
1996,NY,0.0,0.0
1996,NV,0.0,0.0
1996,ND,0.0,0.0
1996,NJ,0.0,0.0
1996,NH,0.0,0.0
1996,NE,0.0,0.0
1996,PA,0.0,0.0
1996,NM,0.0,0.0
1996,RI,0.0,0.0
1996,OK,0.0,0.0
1996,SD,0.0,0.0
1996,TN,0.0,0.0
1996,TX,0.0,0.0
1996,UT,0.0,0.0
1996,VA,0.0,0.0
1996,VT,0.0,0.0
1996,WA,0.0,0.0
1996,WI,0.0,0.0
1996,WV,0.0,0.0
1996,WY,0.0,0.0
1996,NC,0.0,0.0
1996,SC,0.0,0.0
1996,MT,0.0,0.0
1996,IA,0.0,0.0
1996,MO,0.0,0.0
1996,MS,0.0,0.0
1996,AL,0.0,0.0
1996,AR,0.0,0.0
1996,AZ,0.0,0.0
1996,CA,1.0,2.0
1996,CO,0.0,0.0
1996,CT,0.0,0.0
1996,DE,0.0,0.0
1996,FL,0.0,0.0
1996,GA,0.0,0.0
1996,HI,0.0,0.0
1996,AK,0.0,0.0
1996,MN,0.0,0.0
1996,IL,0.0,0.0
1996,IN,0.0,0.0
1996,KS,0.0,0.0
1996,KY,0.0,0.0
1996,LA,0.0,0.0
1996,MA,0.0,0.0
1996,MD,0.0,0.0
1996,ME,0.0,0.0
1996,MI,0.0,0.0
1996,ID,0.0,0.0
1997,OH,0.0,0.0
1997,NY,0.0,0.0
1997,NV,0.0,0.0
1997,NM,0.0,0.0
1997,MT,0.0,0.0
1997,NH,0.0,0.0
1997,NE,0.0,0.0
1997,ND,0.0,0.0
1997,OK,0.0,0.0
1997,NC,0.0,0.0
1997,NJ,0.0,0.0
1997,OR,0.0,0.0
1997,TX,0.0,0.0
1997,RI,0.0,0.0
1997,SC,0.0,0.0
1997,SD,0.0,0.0
1997,TN,0.0,0.0
1997,UT,0.0,0.0
1997,VA,0.0,0.0
1997,VT,0.0,0.0
1997,WA,0.0,0.0
1997,WI,0.0,0.0
1997,WV,0.0,0.0
1997,PA,0.0,0.0
1997,MS,0.0,0.0
1997,WY,0.0,0.0
1997,MN,0.0,0.0
1997,MO,0.0,0.0
1997,AK,0.0,0.0
1997,AL,0.0,0.0
1997,AR,0.0,0.0
1997,AZ,0.0,0.0
1997,CA,6.0,8.0
1997,CT,0.0,0.0
1997,DE,0.0,0.0
1997,FL,0.0,0.0
1997,GA,0.0,0.0
1997,HI,0.0,0.0
1997,CO,0.0,0.0
1997,ID,0.0,0.0
1997,IA,0.0,0.0
1997,ME,0.0,0.0
1997,MD,0.0,0.0
1997,MA,0.0,0.0
1997,LA,0.0,0.0
1997,MI,0.0,0.0
1997,KS,0.0,0.0
1997,IN,0.0,0.0
1997,IL,0.0,0.0
1997,KY,0.0,0.0
1998,RI,0.0,0.0
1998,NH,0.0,0.0
1998,NJ,0.0,0.0
1998,NM,0.0,0.0
1998,NV,0.0,0.0
1998,NY,0.0,0.0
1998,OH,0.0,0.0
1998,OK,0.0,0.0
1998,OR,0.0,0.0
1998,PA,0.0,0.0
1998,SC,0.0,0.0
1998,NE,0.0,0.0
1998,TN,0.0,0.0
1998,TX,0.0,0.0
1998,UT,0.0,0.0
1998,VA,0.0,0.0
1998,VT,0.0,0.0
1998,WA,0.0,0.0
1998,WI,0.0,0.0
1998,WV,0.0,0.0
1998,WY,0.0,0.0
1998,AK,0.0,0.0
1998,SD,0.0,0.0
1998,ND,0.0,0.0
1998,IL,0.0,0.0
1998,MT,0.0,0.0
1998,AL,0.0,0.0
1998,NC,0.0,0.0
1998,AZ,0.0,0.0
1998,CA,13.0,21.0
1998,CO,0.0,0.0
1998,CT,0.0,0.0
1998,DE,0.0,0.0
1998,FL,0.0,0.0
1998,GA,0.0,0.0
1998,HI,0.0,0.0
1998,IA,0.0,0.0
1998,ID,0.0,0.0
1998,AR,0.0,0.0
1998,IN,0.0,0.0
1998,MO,0.0,0.0
1998,MN,0.0,0.0
1998,MI,0.0,0.0
1998,ME,0.0,0.0
1998,MS,0.0,0.0
1998,MA,0.0,0.0
1998,LA,0.0,0.0
1998,KY,0.0,0.0
1998,KS,0.0,0.0
1998,MD,0.0,0.0
1999,PA,0.0,0.0
1999,NE,0.0,0.0
1999,NH,0.0,0.0
1999,NJ,0.0,0.0
1999,NM,0.0,0.0
1999,NV,0.0,0.0
1999,OH,0.0,0.0
1999,OK,0.0,0.0
1999,OR,0.0,0.0
1999,RI,0.0,0.0
1999,VA,0.0,0.0
1999,SD,0.0,0.0
1999,TN,0.0,0.0
1999,TX,0.0,0.0
1999,UT,0.0,0.0
1999,ND,0.0,0.0
1999,VT,0.0,0.0
1999,WA,0.0,0.0
1999,WI,0.0,0.0
1999,WV,0.0,0.0
1999,WY,0.0,0.0
1999,SC,0.0,0.0
1999,NC,0.0,0.0
1999,NY,0.0,0.0
1999,MS,0.0,0.0
1999,AK,0.0,0.0
1999,MT,0.0,0.0
1999,AR,0.0,0.0
1999,AZ,0.0,0.0
1999,CA,12.0,33.0
1999,CO,0.0,0.0
1999,CT,0.0,0.0
1999,DE,0.0,0.0
1999,FL,0.0,0.0
1999,GA,0.0,0.0
1999,HI,0.0,0.0
1999,IA,0.0,0.0
1999,AL,0.0,0.0
1999,IL,0.0,0.0
1999,ID,0.0,0.0
1999,MN,0.0,0.0
1999,MI,0.0,0.0
1999,ME,0.0,0.0
1999,MD,0.0,0.0
1999,MO,0.0,0.0
1999,LA,0.0,0.0
1999,KY,0.0,0.0
1999,KS,0.0,0.0
1999,IN,0.0,0.0
1999,MA,0.0,0.0
2000,NE,0.0,0.0
2000,PA,0.0,0.0
2000,NH,0.0,0.0
2000,NJ,0.0,0.0
2000,NM,0.0,0.0
2000,NV,0.0,0.0
2000,NY,0.0,0.0
2000,OH,0.0,0.0
2000,OK,0.0,0.0
2000,OR,0.0,0.0
2000,RI,0.0,0.0
2000,VA,0.0,0.0
2000,SD,0.0,0.0
2000,TN,0.0,0.0
2000,TX,0.0,0.0
2000,UT,0.0,0.0
2000,VT,0.0,0.0
